backend,size,tile_m,tile_n,tile_k,occupancy,compile_ms,first_launch_ms,steady_latency_ms,tflops,latency_std_ms,pct_peak,max_err
Torch,128,,,,,0.0,123.65200399653986,0.028804266701141994,0.14561398293932995,0.0030435544641455904,0.10254505840797884,0.0
Triton,128,16,16,16,,,266.5832749917172,0.03699413364132245,0.11337754360369617,0.0026375570827381735,0.07984334056598322,3.0517578125e-05
Triton,128,32,32,32,,,1.2100759777240455,0.035703467080990474,0.11747609806312521,0.0024480999199679786,0.08272964652332762,3.0517578125e-05
Triton,128,64,64,16,,,117.57383303483948,0.03584000021219254,0.11702857073569785,0.0021061406902038544,0.08241448643359003,3.0517578125e-05
Triton,128,64,64,32,,,0.9679559734649956,0.03563733398914337,0.11769410139596191,0.001838470372095204,0.08288316999715627,3.0517578125e-05
cuTile,128,32,32,32,,242.92616097955033,11.309294030070305,0.00763733343531688,0.5491843502084801,0.0011726543625074455,0.3867495424003381,0.021678924560546875
cuTile,128,32,32,32,1,209.64072801871225,8.229102997574955,0.00818346676727136,0.5125338831672828,0.0025284581272155696,0.3609393543431569,0.021678924560546875
cuTile,128,32,32,32,2,205.77063102973625,8.403552987147123,0.007304533446828524,0.574205598554837,0.0007352544969287256,0.40437013982735004,0.021678924560546875
cuTile,128,32,32,32,4,206.9042469956912,8.189452986698598,0.007441066764295101,0.5636697173751712,0.0010217218456088693,0.39695050519378255,0.021678924560546875
cuTile,128,32,32,32,8,198.404133960139,8.384213026147336,0.009760000122090181,0.4297442569193079,0.002447864178772746,0.30263680064739995,0.021678924560546875
cuTile,128,64,64,32,,312.27309902897105,8.359873027075082,0.008533333366115888,0.4915199981117248,0.0008077421566057907,0.3461408437406513,0.021678924560546875
cuTile,128,64,64,32,1,311.99746002675965,8.396542980335653,0.008326400040338437,0.5037355855688045,0.0009011812311608498,0.3547433701188764,0.021678924560546875
cuTile,128,64,64,32,2,320.2493040007539,8.305852999910712,0.008123733351627986,0.5163025198456898,0.0007902437503038033,0.3635933238349928,0.021678924560546875
cuTile,128,64,64,32,4,333.4407809888944,8.229793980717659,0.00860159999380509,0.48761904797023303,0.0007288885096358633,0.3433936957536852,0.021678924560546875
cuTile,128,64,64,32,8,324.87304898677394,8.311223005875945,0.012081066767374674,0.34717993706705264,0.003390568319991282,0.24449291342750185,0.021678924560546875
cuTile,128,64,64,64,,272.713775979355,8.262163028120995,0.008196266740560532,0.5117334675363624,0.0005289032605251395,0.3603756813636355,0.0329132080078125
cuTile,128,64,64,64,1,271.3235000264831,9.386189980432391,0.008119466652472814,0.5165738316965202,0.0007844866486081134,0.36378438851867617,0.0329132080078125
cuTile,128,64,64,64,2,276.5955239883624,8.41960299294442,0.00895146665473779,0.46856053446616575,0.002253292861323744,0.3299722073705393,0.0329132080078125
cuTile,128,64,64,64,4,285.5285049881786,8.550332975573838,0.008870400053759416,0.47284270997703054,0.0007141283458393888,0.3329878239274863,0.0329132080078125
cuTile,128,64,64,64,8,280.18977196188644,8.665702014695853,0.008806400125225385,0.4762790629948414,0.000625674404435925,0.3354077908414376,0.0329132080078125
cuTile,128,128,64,32,,461.7292499751784,8.916830993257463,0.01002666683246692,0.4183148866997958,0.0008507961867435896,0.29458794838013785,0.021678924560546875
cuTile,128,128,64,32,1,462.7949260175228,8.519702998455614,0.010037333269913991,0.4178703533310039,0.0006663038023435086,0.2942748967119746,0.021678924560546875
cuTile,128,128,64,32,2,459.1562889982015,8.83461203193292,0.010438399948179721,0.4018148395177572,0.000671054658990045,0.282968196843491,0.021678924560546875
cuTile,128,128,64,32,4,435.4442240437493,8.7467220146209,0.011805866844952106,0.3552728533265967,0.0006300525147499822,0.25019215022999763,0.021678924560546875
cuTile,128,128,64,32,8,467.41361200110987,8.581911970395595,0.01015680010120074,0.41295525738506444,0.0010081303218794485,0.29081356153877774,0.021678924560546875
cuTile,128,64,128,32,,442.14944198029116,8.945162000600249,0.010103466796378295,0.4151351298054938,0.0011580561744337296,0.29234868296161537,0.021678924560546875
cuTile,128,64,128,32,1,440.31200802419335,8.54400300886482,0.009892266740401586,0.42399827158620756,0.00080538904970607,0.29859033210296304,0.021678924560546875
cuTile,128,64,128,32,2,446.89314701827243,8.755941991694272,0.009902933426201344,0.42354157293460554,0.000886953639759534,0.2982687133342292,0.021678924560546875
cuTile,128,64,128,32,4,441.2999750347808,10.790656029712409,0.011741866792241732,0.35720929850535565,0.0007178722338061987,0.2515558440178561,0.021678924560546875
cuTile,128,64,128,32,8,451.4681830187328,8.71073198504746,0.009768533458312353,0.4293688523358575,0.0009765308201241693,0.30237243122243485,0.021678924560546875
cuTile,128,128,64,64,,402.61290897615254,8.768161991611123,0.01050666676213344,0.39920405728641595,0.0025220021900559013,0.28112961780733514,0.0329132080078125
cuTile,128,128,64,64,1,400.8377240388654,8.765422040596604,0.009892266740401586,0.42399827158620756,0.0011049882813064932,0.29859033210296304,0.0329132080078125
cuTile,128,128,64,64,2,389.36053100042045,8.47593299113214,0.010237866764267285,0.4096853472091637,0.0009159281884119737,0.28851080789377725,0.0329132080078125
cuTile,128,128,64,64,4,406.04540798813105,9.088100981898606,0.010028800182044505,0.41822590178927416,0.0009297858165429973,0.2945252829501931,0.0329132080078125
